group_id	chrom	loc	strand	gene_name	structure	llr	p_value	q_value
g003203	chr15	68995170	+	Khdrbs3	i	4.12386	0.016182	0.183583
g003204	chr15	69017328	+	Khdrbs3	o	3.97288	0.0188192	0.199393
g003205	chr15	73751129	+	Ptp4a3	o	0.251104	0.918406	1
g003206	chr15	74547763	+	Adgrb1	i	0.40118	0.669529	1
g003207	chr15	74563960	+	Adgrb1	o	1.25254	0.285777	0.819277
g003208	chr15	74575924	+	Adgrb1	i	3.4303	0.076476	0.423253
g003209	chr15	74580565	+	Adgrb1	o	2.99944	0.0498152	0.334464
g003210	chr15	74582987	+	Adgrb1	i	0.275341	0.759313	1
g003211	chr15	74586757	+	Adgrb1	o	8.58339	0.000187189	0.0136765
g003212	chr15	74588142	+	Adgrb1	i	0.545448	0.579582	1
g003213	chr15	74955717	+	Ly6e	i	4.03903	0.0444257	0.313904
g003214	chr15	74957777	+	Ly6e	o	1.31065	0.269646	0.797805
g003215	chr15	75947123	+	Zfp623	o	0.00134573	0.998655	1
g003216	chr15	76246900	+	Grina	i	0.406	0.846595	1
g003217	chr15	76247851	+	Grina	o	0.206394	0.937588	1
g003218	chr15	76343692	+	Cyc1	i	0.175189	0.839298	1
g003219	chr15	76351659	+	Maf1	i	2.56396	0.0769992	0.424373
g003220	chr15	76498422	+	Hsf1	o	3.27973	0.0376383	0.286329
g003221	chr15	76498691	+	Hsf1	i	1.73539	0.176331	0.654615
g003222	chr15	76499948	+	Hsf1	o	2.6564	0.0702004	0.402276
g003223	chr15	76500053	+	Hsf1	i	0.473101	0.623067	1
g003224	chr15	76500267	+	Hsf1	o	2.09537	0.123024	0.544754
g003225	chr15	76662672	+	Kifc2	i	3.63861	0.0262889	0.236398
g003226	chr15	76671762	+	Ppp1r16a	i	0.570356	0.565324	1
g003227	chr15	76690172	+	Ppp1r16a	o	0.464947	0.628168	1
g003228	chr15	76712867	+	Lrrc14	o	3.76535	0.0231596	0.220708
g003229	chr15	76713220	+	Lrrc14	i	0.110018	0.895818	1
g003230	chr15	76900352	+	Commd5	o	1.7056	0.181663	0.665487
g003231	chr15	78435710	+	Kctd17	i	1.52199	0.550493	1
g003232	chr15	78437158	+	Kctd17	o	0.193796	0.823826	1
g003233	chr15	78437584	+	Kctd17	o	1.71284	0.330529	0.872354
g003234	chr15	78438487	+	Kctd17	o	0.198452	0.819999	1
g003235	chr15	78918130	+	Pdxp	o	0.0102784	0.989774	1
g003236	chr15	78936479	+	Nol12	o	0.0021705	0.997832	1
g003237	chr15	79109429	+	Micall1	i	0.74427	0.475081	1
g003238	chr15	79229750	+	Pick1	o	1.15264	0.315802	0.855065
g003239	chr15	79661524	+	Cby1	i	0.744002	0.475208	1
g003240	chr15	80111744	+	Syngr1	i	5.46528	0.00423117	0.0828577
g003241	chr15	80389848	+	Cacna1i	i	5.11913	0.00598122	0.100685
g003242	chr15	80858681	+	Tnrc6b	o	1.82783	0.160763	0.626438
g003243	chr15	80889155	+	Tnrc6b	i	3.79841	0.0224064	0.218132
g003244	chr15	80894329	+	Tnrc6b	o	4.25986	0.0141243	0.169952
g003245	chr15	81011522	+	Sgsm3	i	0.108904	0.896817	1
g003246	chr15	81468155	+	Rbx1	o	0.1171	0.889496	1
g003247	chr15	81767995	+	Zc3h7b	o	4.37056	0.0126441	0.159507
g003248	chr15	81814944	+	Tef	o	7.01454	0.00089872	0.0329457
g003249	chr15	81946932	+	Csdc2	i	0.319037	0.726849	1
g003250	chr15	82169738	+	Srebf2	o	0.161449	0.85091	1
g003251	chr15	82279415	+	Sept3	o	0.771607	0.462269	1
g003252	chr15	82283187	+	Sept3	i	0.53639	0.584856	1
g003253	chr15	82286532	+	Sept3	i	0.664154	0.514709	1
g003254	chr15	82289294	+	Sept3	i	0.874194	0.62623	1
g003255	chr15	82290738	+	Sept3	o	0.033212	0.967333	1
g003256	chr15	82293246	+	Sept3	o	0.632669	0.73738	1
g003257	chr15	82290831	+	Sept3	i	0.0288392	0.971573	1
g003258	chr15	82347900	+	Smdt1	o	0.161703	0.850694	1
g003259	chr15	83836273	+	Mpped1	o	1.69162	0.184221	0.669575
g003260	chr15	83800184	+	Mpped1	i	4.89106	0.00751346	0.113089
g003261	chr15	83852040	+	Mpped1	o	3.08302	0.0458207	0.320106
g003262	chr15	85044780	+	Fam118a	o	3.03044	0.0482942	0.329236
g003263	chr15	85244306	+	Fbln1	i	0.00657154	0.99345	1
g003264	chr15	86058961	+	Gramd4	i	0.0839039	0.91952	1
g003265	chr15	86100780	+	Gramd4	o	0.200775	0.818097	1
g003266	chr15	87681480	+	Fam19a5	o	6.68279	0.00390916	0.0798607
g003267	chr15	89060299	+	Panx2	i	0.278003	0.757295	1
g003268	chr15	89243459	+	Ppp6r2	i	0.0278899	0.972495	1
g003269	chr15	89253019	+	Ppp6r2	o	0.0499022	0.951322	1
g003270	chr15	89246340	+	Ppp6r2	i	0.547456	0.578419	1
g003271	chr15	89256663	+	Ppp6r2	o	1.19496	0.495515	1
g003272	chr15	89253261	+	Ppp6r2	i	0.00596595	0.994052	1
g003273	chr15	89256849	+	Ppp6r2	i	1.26788	0.468862	1
g003274	chr15	89265129	+	Ppp6r2	o	1.34914	0.259463	0.781509
g003275	chr15	89278784	+	Ppp6r2	i	0.0400872	0.960706	1
g003276	chr15	89279720	+	Ppp6r2	o	0.0794787	0.923598	1
g003277	chr15	89360356	+	Ncaph2	o	0.00119284	0.998808	1
g003278	chr15	89370488	+	Ncaph2	i	1.03993	0.35348	0.899822
g003279	chr15	89456525	+	Mapk8ip2	o	0.724293	0.484667	1
g003280	chr15	89533454	+	Shank3	i	0.303687	0.738092	1
g003281	chr15	89543100	+	Shank3	o	0.0853052	0.918232	1
g003282	chr15	89549882	+	Shank3	i	0.565031	0.568343	1
g003283	chr15	89557735	+	Shank3	o	1.63961	0.194055	0.685048
g003284	chr15	92216316	+	Cntn1	o	0.0145354	0.98557	1
g003285	chr15	92271354	+	Cntn1	i	0.00876447	0.991274	1
g003286	chr15	95654656	+	.	i	2.31489	0.0987768	0.485936
g003287	chr15	97964840	+	Tmem106c	o	0.30592	0.736446	1
g003288	chr15	97965030	+	Tmem106c	i	0.138476	0.870684	1
g003289	chr15	98112154	+	Pfkm	o	1.21552	0.296557	0.826949
g003290	chr15	98639488	+	Cacnb3	o	0.931155	0.60147	1
g003291	chr15	98640454	+	Cacnb3	i	2.88688	0.0557499	0.355266
g003292	chr15	98642651	+	Cacnb3	i	0.96024	0.382801	0.931092
g003293	chr15	99303283	+	Prpf40b	o	0.00152623	0.998475	1
g003294	chr15	99315286	+	Prpf40b	i	0.0890549	0.914795	1
g003295	chr15	99315723	+	Prpf40b	o	1.43347	0.238481	0.755057
g003296	chr15	99316380	+	Prpf40b	i	0.0684738	0.933818	1
g003297	chr15	99401580	+	Tmbim6	o	0.000327696	0.999672	1
g003298	chr15	99699034	+	Asic1	o	1.58538	0.204869	0.706929
g003299	chr15	99972983	+	Larp4	i	2.33859	0.0964638	0.478956
g003300	chr15	100142147	+	Dip2b	i	5.64454	0.00353678	0.074421
g003301	chr15	100154157	+	Dip2b	o	7.14954	0.000785226	0.030652
g003302	chr15	100469685	+	Letmd1	o	0.286144	0.751155	1
g003303	chr15	100469836	+	Letmd1	i	0.0805025	0.922653	1
g003304	chr15	100472549	+	Letmd1	o	0.115637	0.890799	1
g003305	chr15	100616913	+	Dazap2	o	0.00043644	0.999564	1
g003306	chr15	100936271	+	Scn8a	o	0.00120359	0.998797	1
g003307	chr15	100957589	+	Scn8a	i	0.00302194	0.996983	1
g003308	chr15	101270083	+	Nr4a1	o	9.55784	7.06454e-05	0.00766248
g003309	chr15	102207771	+	Zfp740	o	0.202044	0.939397	1
g003310	chr15	102205086	+	Zfp740	i	1.33306	0.263669	0.790106
g003311	chr15	102207920	+	Zfp740	i	0.625821	0.534822	1
g003312	chr15	102326260	+	Pfdn5	i	0.646612	0.523817	1
g003313	chr15	102326818	+	Pfdn5	o	0.603488	0.546901	1
g003314	chr15	102459255	+	Prr13	i	0.0425881	0.958306	1
g003315	chr15	102460108	+	Prr13	o	1.70862	0.181115	0.664636
g003316	chr15	102470803	+	Pcbp2	i	0.0281074	0.972284	1
g003317	chr15	102484240	+	Pcbp2	i	2.24158	0.213797	0.721891
g003318	chr15	102487088	+	Pcbp2	o	0.0334387	0.967114	1
g003319	chr15	102488205	+	Pcbp2	o	1.5512	0.211993	0.71856
g003320	chr15	102488277	+	Pcbp2	i	17.8522	8.64736e-08	0.000101088
g003321	chr15	102489752	+	Pcbp2	o	8.6459	0.000175847	0.01331
g003322	chr15	102489755	+	Pcbp2	o	7.20274	0.000744546	0.0295599
g003323	chr15	102488814	+	Pcbp2	i	2.04284	0.12966	0.560425
g003324	chr15	102490803	+	Pcbp2	i	2.1082	0.121456	0.542565
g003325	chr15	103240117	+	.	i	0.6683	0.512579	1
g003326	chr15	103242718	+	Hnrnpa1	i	0.0280777	0.972313	1
g003327	chr15	103243625	+	Hnrnpa1	o	0.0246671	0.975635	1
g003328	chr15	103244028	+	Hnrnpa1	i	0.0616661	0.940197	1
g003329	chr15	8291590	-	Nipbl	i	0.241449	0.785489	1
g003330	chr15	8343475	-	Nipbl	o	2.36836	0.0936345	0.473164
g003331	chr15	11848469	-	Npr3	o	0.411085	0.662931	1
g003332	chr15	11993861	-	Sub1	i	0.20945	0.81103	1
g003333	chr15	27657071	-	Fam105a	i	1.47101	0.229694	0.743856
g003334	chr15	27658045	-	Fam105a	o	3.49211	0.0304367	0.25577
g003335	chr15	27741279	-	Trio	i	0.422989	0.655086	1
g003336	chr15	27744200	-	Trio	i	2.34076	0.0962542	0.478635
g003337	chr15	27774173	-	Trio	i	2.56531	0.0768951	0.424322
g003338	chr15	31305132	-	Ankrd33b	i	0.00809566	0.991937	1
g003339	chr15	31367039	-	Ankrd33b	o	0.452359	0.636125	1
g003340	chr15	31475746	-	March6	o	0.266573	0.766	1
g003341	chr15	31502863	-	March6	i	1.07769	0.340381	0.883579
g003342	chr15	31598060	-	Cct5	i	0.0483821	0.95277	1
g003343	chr15	34485655	-	Hrsp12	i	0.0958237	0.908624	1
g003344	chr15	34487742	-	Hrsp12	o	0.0588055	0.94289	1
g003345	chr15	35114657	-	Stk3	i	1.66955	0.188333	0.677418
g003346	chr15	35115565	-	Stk3	o	2.73939	0.0646098	0.382317
g003347	chr15	36495993	-	Ankrd46	i	1.67982	0.339428	0.882979
g003348	chr15	36790988	-	Ywhaz	i	0.666334	0.721391	1
g003349	chr15	36794145	-	Ywhaz	o	0.797103	0.660704	1
g003350	chr15	37372116	-	Ncald	o	0.316047	0.729025	1
g003351	chr15	37397453	-	Ncald	i	5.74676	0.0215432	0.214927
g003352	chr15	37459217	-	Ncald	o	0.764086	0.46576	1
g003353	chr15	37563464	-	Ncald,RP23-457H19.2	i	0.323043	0.723943	1
g003354	chr15	37661032	-	Ncald,RP23-457H19.2	o	0.775881	0.460298	1
g003355	chr15	37661086	-	Ncald	i	0.344745	0.875673	1
g003356	chr15	37973458	-	Ubr5	i	2.2302	0.107507	0.506076
g003357	chr15	37976060	-	Ubr5	o	2.56814	0.0766782	0.424149
g003358	chr15	38040753	-	Ubr5	o	1.01532	0.362288	0.90883
g003359	chr15	38493474	-	Azin1	o	0.430747	0.650023	1
g003360	chr15	38501600	-	Azin1	i	0.646199	0.524034	1
g003361	chr15	38514473	-	Azin1	o	0.0430492	0.957864	1
g003362	chr15	39885141	-	Lrp12	i	0.37404	0.687949	1
g003363	chr15	39943604	-	Lrp12	o	2.37051	0.0934329	0.4726
g003364	chr15	43022642	-	Rspo2	i	1.07863	0.340061	0.883315
g003365	chr15	43093153	-	Rspo2	o	0.699422	0.496872	1
g003366	chr15	43093341	-	Rspo2	i	0.0943358	0.909977	1
g003367	chr15	43278422	-	Eif3e	i	0.184761	0.831303	1
g003368	chr15	43282603	-	Eif3e	o	0.00100224	0.998998	1
g003369	chr15	44401282	-	Nudcd1	o	0.414032	0.66098	1
g003370	chr15	44677535	-	Sybu	o	0.582239	0.558646	1
g003371	chr15	44683450	-	Sybu	i	0.761329	0.467045	1
g003372	chr15	44748309	-	Sybu	o	1.59937	0.202023	0.702176
g003373	chr15	44748398	-	Sybu	i	0.117907	0.888779	1
g003374	chr15	54844535	-	Enpp2	i	0.0566312	0.944942	1
g003375	chr15	54847249	-	Enpp2	o	0.0334635	0.96709	1
g003376	chr15	54850127	-	Enpp2	i	1.48766	0.225901	0.740176
g003377	chr15	54860043	-	Enpp2	o	0.977299	0.376326	0.922705
g003378	chr15	54860094	-	Enpp2	i	5.04404	0.00644768	0.104524
g003379	chr15	54919698	-	Enpp2	i	0.305837	0.736507	1
g003380	chr15	55543384	-	Mrpl13	i	0.375998	0.686604	1
g003381	chr15	55555320	-	Mrpl13	o	0.00200728	0.997995	1
g003382	chr15	58048785	-	Zhx1	i	0.989422	0.371792	0.917531
g003383	chr15	58055082	-	Zhx1	i	0.225614	0.798026	1
g003384	chr15	58069319	-	Zhx1	o	0.311752	0.732163	1
g003385	chr15	58944130	-	Mtss1	i	0.000992322	0.999008	1
g003386	chr15	58946019	-	Mtss1	i	1.65902	0.190325	0.679968
g003387	chr15	58951470	-	Mtss1	o	3.76291	0.0232162	0.221047
g003388	chr15	63950127	-	Fam49b	i	0.720012	0.486747	1
g003389	chr15	63957585	-	Fam49b	o	1.52582	0.217443	0.726951
g003390	chr15	63956682	-	Fam49b	i	2.95457	0.206038	0.7089
g003391	chr15	63970930	-	Fam49b	o	0.146021	0.86414	1
g003392	chr15	63997898	-	Fam49b	o	0.0278672	0.972518	1
g003393	chr15	64022570	-	Fam49b	o	0.404136	0.667553	1
g003394	chr15	63970968	-	Fam49b	i	1.12424	0.522462	1
g003395	chr15	64060195	-	Fam49b	o	0.958977	0.383285	0.931518
g003396	chr15	64102472	-	Asap1	i	0.0006772	0.999323	1
g003397	chr15	64119958	-	Asap1	o	0.0745454	0.928165	1
g003398	chr15	64737562	-	Adcy8	i	0.00111695	0.998884	1
g003399	chr15	64746897	-	Adcy8	o	0.253856	0.775803	1
g003400	chr15	72757358	-	Trappc9	i	1.78431	0.167914	0.639867
g003401	chr15	73031643	-	Trappc9	i	3.86292	0.0210066	0.211291
g003402	chr15	73050595	-	Trappc9	o	4.77179	0.00846525	0.122339
g003403	chr15	73210897	-	Ptk2	i	0.191187	0.825978	1
g003404	chr15	73274584	-	Ptk2	i	1.52591	0.217423	0.726951
g003405	chr15	73276857	-	Ptk2	o	0.928192	0.395268	0.946214
g003406	chr15	73276913	-	Ptk2	i	0.326577	0.721389	1
g003407	chr15	73292035	-	Ptk2	o	2.73307	0.140678	0.58484
g003408	chr15	73282235	-	Ptk2	i	0.306807	0.735792	1
g003409	chr15	73331015	-	Ptk2	i	1.17532	0.308721	0.844563
g003410	chr15	73394648	-	Ptk2	o	3.38046	0.079921	0.433427
g003411	chr15	73343359	-	Ptk2	i	2.78482	0.233675	0.747946
g003412	chr15	74670565	-	Arc	o	1.73624	0.176182	0.654294
g003413	chr15	74751644	-	Lynx1	i	4.09707	0.0166213	0.186232
g003414	chr15	74997617	-	Ly6a	i	2.2125	0.219079	0.729033
g003415	chr15	74997879	-	Ly6a	o	0.0193988	0.980788	1
g003416	chr15	75048524	-	Ly6c1	i	0.156373	0.85524	1
g003417	chr15	75048785	-	Ly6c1	o	0.614656	0.540827	1
g003418	chr15	75565341	-	Ly6h	i	0.0407236	0.960094	1
g003419	chr15	75566259	-	Ly6h	i	2.02426	0.399479	0.951747
g003420	chr15	75896919	-	Eef1d	i	9.89897	0.000186921	0.0136765
g003421	chr15	75900691	-	Eef1d	o	1.73806	0.175861	0.653465
g003422	chr15	75901132	-	Eef1d	o	6.55752	0.0014194	0.0432856
g003423	chr15	75909245	-	Eef1d	o	0.00680272	0.99322	1
g003424	chr15	75901255	-	Eef1d	i	9.35153	8.68322e-05	0.00868251
g003425	chr15	75926193	-	Tsta3	i	0.514693	0.597684	1
g003426	chr15	75929049	-	Tsta3	i	0.226987	0.796931	1
g003427	chr15	76047672	-	Scrib	i	0.557875	0.572424	1
g003428	chr15	76048115	-	Scrib	o	0.979818	0.375379	0.922211
g003429	chr15	76049301	-	Scrib	i	2.36301	0.0941361	0.474559
g003430	chr15	76050050	-	Scrib	o	0.728478	0.482643	1
g003431	chr15	76072568	-	Puf60	i	0.141615	0.867955	1
g003432	chr15	76075542	-	Puf60	o	0.399344	0.67076	1
g003433	chr15	76080850	-	Puf60	o	0.164802	0.848062	1
g003434	chr15	76077702	-	Puf60	i	2.93432	0.0531669	0.346201
g003435	chr15	76193487	-	Plec	i	0.94972	0.386849	0.936934
g003436	chr15	76194341	-	Plec	o	1.4714	0.229604	0.743856
g003437	chr15	76348435	-	Sharpin	i	0.468009	0.626248	1
g003438	chr15	76350481	-	Sharpin	o	0.186998	0.829445	1
g003439	chr15	76625134	-	Vps28	o	1.55028	0.212188	0.718738
g003440	chr15	76648099	-	Cyhr1	o	0.819311	0.650665	1
g003441	chr15	76727476	-	Arhgap39	i	2.52557	0.0800129	0.433702
g003442	chr15	76734877	-	Arhgap39	o	3.69398	0.0248727	0.229348
g003443	chr15	76854614	-	Zfp251	i	2.36431	0.192782	0.684507
g003444	chr15	76869807	-	Zfp251	o	0.0132561	0.986831	1
g003445	chr15	76869920	-	Zfp251	i	0.617961	0.539042	1
g003446	chr15	76870653	-	Zfp251	o	0.522602	0.592976	1
g003447	chr15	77086155	-	Rbfox2	i	1.19686	0.494806	1
g003448	chr15	77094451	-	Rbfox2	o	0.233539	0.791727	1
g003449	chr15	77097940	-	Rbfox2	o	0.45546	0.634156	1
g003450	chr15	77132717	-	Rbfox2	o	0.441408	0.64313	1
g003451	chr15	77132941	-	Rbfox2	i	2.35396	0.194477	0.685688
g003452	chr15	77306364	-	Rbfox2	o	3.82971	0.0217159	0.215337
g003453	chr15	77231437	-	Rbfox2	i	4.96338	0.00698926	0.109161
g003454	chr15	77781515	-	Myh9	i	0.000138235	0.999862	1
g003455	chr15	77783389	-	Myh9	o	0.813111	0.443476	0.997395
g003456	chr15	77968589	-	Eif3d	i	0.027354	0.973017	1
g003457	chr15	78674740	-	Elfn2	i	0.967243	0.586115	1
g003458	chr15	78718404	-	Elfn2	o	3.08715	0.0456318	0.319554
g003459	chr15	79139238	-	RP23-414K1.4	o	0.281254	0.754837	1
g003460	chr15	79318010	-	Pla2g6	i	0.478303	0.619834	1
g003461	chr15	79362885	-	Tmem184b	i	1.91999	0.146609	0.59809
g003462	chr15	79365285	-	Tmem184b	o	3.17996	0.0415874	0.303637
g003463	chr15	79424840	-	Csnk1e	o	0.0570103	0.944584	1
g003464	chr15	79441928	-	Csnk1e	o	0.808348	0.445594	0.998741
g003465	chr15	79485819	-	Kcnj4	i	1.99977	0.261514	0.785439
g003466	chr15	79530517	-	Ddx17	i	1.31481	0.268526	0.796718
g003467	chr15	79531914	-	Ddx17	i	1.66093	0.189962	0.679561
g003468	chr15	79737066	-	Sun2	o	0.16752	0.84576	1
g003469	chr15	79765021	-	Dnal4	i	0.26571	0.766661	1
g003470	chr15	79774359	-	Dnal4	o	0.00161787	0.998383	1
g003471	chr15	79794475	-	Nptxr,Npcd	i	0.732442	0.480734	1
g003472	chr15	79833512	-	Cbx6,Npcd	o	2.7504	0.239659	0.756059
g003473	chr15	79828978	-	Cbx6	i	0.813296	0.443394	0.997395
g003474	chr15	79833702	-	Cbx6	o	0.858207	0.423922	0.977873
g003475	chr15	79921372	-	Cbx7	o	1.01711	0.361637	0.908521
g003476	chr15	81045354	-	Mkl1	i	0.403227	0.66816	1
g003477	chr15	81692306	-	Chadl	i	1.75254	0.173333	0.648288
g003478	chr15	81693534	-	Chadl	o	2.36876	0.093597	0.473164
g003479	chr15	81724632	-	Rangap1	i	3.27521	0.0378088	0.286796
g003480	chr15	81729712	-	Rangap1	o	1.44631	0.235437	0.750615
g003481	chr15	81922505	-	Polr3h	i	0.790001	0.453844	1
g003482	chr15	81999614	-	Desi1	i	1.24993	0.286524	0.819416
g003483	chr15	82003758	-	Desi1	o	2.50137	0.0819729	0.438453
g003484	chr15	82336020	-	Naga	i	2.11471	0.120668	0.540695
g003485	chr15	82337387	-	Naga	o	3.99274	0.0184491	0.197024
g003486	chr15	82350371	-	Ndufa6	i	0.947454	0.387727	0.937333
g003487	chr15	82354081	-	Ndufa6	o	0.66266	0.515478	1
g003488	chr15	83135389	-	Poldip3	i	1.77773	0.169021	0.64084
g003489	chr15	83138132	-	Poldip3	o	1.67714	0.186907	0.674365
g003490	chr15	83313469	-	Arfgap3	o	0.00719212	0.992834	1
g003491	chr15	83327605	-	Arfgap3	o	2.34948	0.0954184	0.476287
g003492	chr15	83379195	-	Pacsin2	i	0.170368	0.843355	1
g003493	chr15	83381762	-	Pacsin2	o	1.57823	0.206339	0.70921
g003494	chr15	83547942	-	Mcat	i	0.814175	0.443005	0.996973
g003495	chr15	83552534	-	Mcat	o	0.814419	0.442897	0.996944
g003496	chr15	83638820	-	Scube1	i	0.204062	0.815412	1
g003497	chr15	83654169	-	Scube1	o	0.108071	0.897564	1
g003498	chr15	84077582	-	Sult4a1	i	7.04301	0.000873498	0.0327316
g003499	chr15	85543940	-	Wnt7b	i	1.61433	0.199025	0.696248
g003500	chr15	85559129	-	Wnt7b	i	2.60039	0.0742446	0.415273
g003501	chr15	88978516	-	Mlc1	o	0.39397	0.674374	1
g003502	chr15	89126437	-	Hdac10	i	0.0261808	0.974159	1
g003503	chr15	89126869	-	Hdac10	o	0.172536	0.841528	1
g003504	chr15	89295576	-	Sbf1	i	1.32582	0.265584	0.793555
g003505	chr15	89299483	-	Sbf1	o	1.91614	0.147173	0.599591
g003506	chr15	89303220	-	Sbf1	o	0.00767227	0.992357	1
g003507	chr15	89306935	-	Sbf1	i	0.241983	0.78507	1
g003508	chr15	89307493	-	Sbf1	o	0.414336	0.660779	1
g003509	chr15	89307687	-	Sbf1	o	0.188191	0.828456	1
g003510	chr15	90943901	-	Kif21a	i	0.484253	0.914533	1
g003511	chr15	90949006	-	Kif21a	o	0.424325	0.654211	1
g003512	chr15	90952711	-	Kif21a	o	0.0670109	0.987463	1
g003513	chr15	90956295	-	Kif21a	o	1.22734	0.483537	1
g003514	chr15	90949044	-	Kif21a	i	0.670131	0.511641	1
g003515	chr15	90959748	-	Kif21a	i	0.00114138	0.998859	1
g003516	chr15	90965467	-	Kif21a	o	0.0376033	0.963095	1
g003517	chr15	90972715	-	Kif21a	i	0.49204	0.611378	1
g003518	chr15	90980795	-	Kif21a	o	0.00151654	0.998485	1
g003519	chr15	93286562	-	Yaf2	i	0.231438	0.793392	1
g003520	chr15	93336340	-	Yaf2	o	0.707364	0.492942	1
g003521	chr15	93387577	-	Zcrb1	o	1.23988	0.28942	0.821638
g003522	chr15	93391158	-	Zcrb1	i	0.705292	0.493964	1
g003523	chr15	93395587	-	Zcrb1	o	0.505205	0.798733	1
g003524	chr15	93391565	-	Zcrb1	i	2.28969	0.101298	0.492266
g003525	chr15	93595694	-	Prickle1	o	0.00362739	0.996379	1
g003526	chr15	94588305	-	Twf1	i	0.820512	0.440206	0.994213
g003527	chr15	95346887	-	Nell2	i	0.404398	0.667379	1
g003528	chr15	95429878	-	Nell2	o	0.461184	0.630537	1
g003529	chr15	95429980	-	Nell2	i	0.755943	0.469568	1
g003530	chr15	95432595	-	Nell2	o	1.47956	0.227737	0.742656
g003531	chr15	95527886	-	Nell2	i	0.418291	0.840698	1
g003532	chr15	96415151	-	Scaf11	i	0.00485496	0.995157	1
g003533	chr15	96624169	-	Slc38a1	i	2.60079	0.157618	0.621517
g003534	chr15	96695509	-	Slc38a2	i	7.70436	0.000450858	0.022696
g003535	chr15	96698182	-	Slc38a2	o	8.94902	0.000129865	0.0105101
g003536	chr15	98145601	-	Asb8	o	1.22848	0.292737	0.825145
g003537	chr15	98520425	-	Kansl2	i	2.33386	0.096921	0.479636
g003538	chr15	98658435	-	Ddx23	i	0.00552542	0.99449	1
g003539	chr15	98742829	-	Arf3	i	0.00605462	0.993964	1
g003540	chr15	98807605	-	Ddn	o	0.075822	0.926981	1
g003541	chr15	98825733	-	Prkag1	i	0.296283	0.743577	1
g003542	chr15	98950088	-	.	o	0.021171	0.979052	1
g003543	chr15	99524701	-	Faim2	o	0.00687806	0.993146	1
g003544	chr15	99736436	-	Cers5	i	5.15447	0.00577357	0.0989301
g003545	chr15	99738665	-	Cers5	o	3.72996	0.0239938	0.22459
g003546	chr15	99751341	-	Cers5	i	0.120495	0.886482	1
g003547	chr15	100578618	-	Pou6f1	i	0.567814	0.566763	1
g003548	chr15	100580810	-	Pou6f1	o	2.85144	0.057761	0.363174
g003549	chr15	100586644	-	Pou6f1	o	0.216152	0.805613	1
g003550	chr15	100587789	-	Pou6f1	o	0.0242436	0.976048	1
g003551	chr15	100720235	-	Galnt6	i	0.531338	0.587818	1
g003552	chr15	101223633	-	RP23-195I24.2	i	1.74357	0.174894	0.652041
g003553	chr15	102131943	-	Spryd3	i	0.16804	0.84532	1
g003554	chr15	102177786	-	Csad	i	1.48078	0.227461	0.742656
g003555	chr15	102178781	-	Csad	o	0.10582	0.899586	1
g003556	chr15	102510005	-	Map3k12	i	0.549253	0.577381	1
g003557	chr15	103213254	-	Cbx5	i	2.03519	0.253964	0.775171
g003558	chr15	103215268	-	Cbx5	o	1.09568	0.334311	0.87669
g003559	chr15	103215121	-	Cbx5	i	0.035937	0.964701	1
g003560	chr15	103320400	-	Zfp385a	i	1.40513	0.245335	0.763659
g003561	chr15	103533494	-	Ppp1r1a	i	9.97505	4.65469e-05	0.00562896
g003562	chr15	103537795	-	Ppp1r1a	o	10.7882	2.06425e-05	0.00319382
g003563	chr16	3903466	+	Naa60	o	0.454275	0.634908	1
g003564	chr16	3937614	+	Cluap1	i	0.170077	0.8436	1
g003565	chr16	3940768	+	Cluap1	o	0.000726609	0.999274	1
g003566	chr16	4702308	+	Dnaja3	i	1.42539	0.240414	0.757304
g003567	chr16	4706568	+	Dnaja3	o	0.304007	0.737856	1
g003568	chr16	4762559	+	Hmox2	o	0.069203	0.98686	1
g003569	chr16	4886473	+	Mgrn1	i	0.126752	0.880952	1
g003570	chr16	4924532	+	Mgrn1	i	3.49876	0.0302347	0.254757
g003571	chr16	4927675	+	Mgrn1	o	1.72782	0.177671	0.657378
g003572	chr16	4932298	+	Mgrn1	i	0.183915	0.832007	1
g003573	chr16	4936896	+	Mgrn1	o	0.176203	0.838448	1
g003574	chr16	5050781	+	Ubn1	i	1.7643	0.171307	0.644283
g003575	chr16	5081661	+	Ubn1	i	0.036187	0.96446	1
g003576	chr16	5084056	+	Ubn1	o	0.429027	0.651142	1
g003577	chr16	6173605	+	Rbfox1	o	2.40569	0.0902031	0.463681
g003578	chr16	6487819	+	Rbfox1	o	3.48151	0.137855	0.578468
g003579	chr16	6809207	+	Rbfox1	o	0.236767	0.789175	1
g003580	chr16	7224311	+	Rbfox1	o	10.3958	0.000348265	0.0197415
g003581	chr16	7224550	+	Rbfox1	i	0.0802873	0.922851	1
g003582	chr16	7294130	+	Rbfox1	i	1.46133	0.231928	0.746441
g003583	chr16	7330362	+	Rbfox1	o	1.19852	0.301639	0.835804
g003584	chr16	7306461	+	Rbfox1	i	1.22561	0.293578	0.825739
g003585	chr16	7352932	+	Rbfox1	o	0.510212	0.600368	1
g003586	chr16	7353064	+	Rbfox1	i	3.94291	0.0193918	0.202402
g003587	chr16	7375905	+	Rbfox1	o	3.37965	0.0340593	0.270561
g003588	chr16	7375969	+	Rbfox1	i	0.0329686	0.967569	1
g003589	chr16	7407964	+	Rbfox1	o	0.354993	0.701178	1
g003590	chr16	7408039	+	Rbfox1	i	0.481738	0.617709	1
